Community,id_node

0,0

0,32769

0,2

0,5

0,6

0,7

0,32777

0,10

0,32779

0,32780

0,12

0,32781

0,32782

0,16

0,17

0,18

0,19

0,21

0,32790

0,23

0,32792

0,22

0,24

0,32793

0,28

0,32794

0,32798

0,30

0,32800

0,32799

0,32806

0,39

0,32808

0,32809

0,40

0,42

0,32814

0,32816

0,50

0,32818

0,32819

0,53

0,54

0,55

0,32823

0,32824

0,32825

0,57

0,58

0,32828

0,61

0,63

0,32832

0,32834

0,32836

0,70

0,32839

0,32841

0,73

0,32845

0,32848

0,32850

0,32852

0,85

0,87

0,91

0,92

0,93

0,95

0,96

0,97

0,98

0,32867

0,100

0,32868

0,102

0,32874

0,32875

0,32876

0,32877

0,32879

0,32880

0,32881

0,32884

0,119

0,120

0,32890

0,122

0,32892

0,32894

0,32895

0,128

0,32901

0,32902

0,134

0,32904

0,32905

0,32907

0,140

0,141

0,32910

0,143

0,144

0,32915

0,32916

0,150

0,32919

0,32921

0,154

0,156

0,32925

0,32926

0,32924

0,160

0,32927

0,32930

0,32932

0,32933

0,164

0,32936

0,32939

0,175

0,32945

0,178

0,32947

0,32948

0,181

0,185

0,186

0,32955

0,188

0,32957

0,190

0,32960

0,192

0,32961

0,195

0,196

0,194

0,32965

0,200

0,32969

0,32970

0,32972

0,32974

0,32975

0,209

0,32977

0,211

0,32980

0,32981

0,216

0,219

0,32988

0,221

0,222

0,32992

0,32994

0,32995

0,227

0,230

0,231

0,32999

0,33002

0,236

0,237

0,240

0,241

0,33010

0,243

0,244

0,245

0,33014

0,250

0,33019

0,252

0,33021

0,33022

0,251

0,33018

0,255

0,256

0,33024

0,33026

0,260

0,261

0,33029

0,262

0,33032

0,33033

0,33031

0,264

0,268

0,33038

0,275

0,33045

0,277

0,33047

0,278

0,281

0,284

0,286

0,33054

0,287

0,33056

0,33057

0,33058

0,291

0,292

0,33061

0,294

0,33062

0,295

0,33065

0,33066

0,33068

0,33069

0,33071

0,305

0,306

0,33074

0,33075

0,33076

0,309

0,311

0,33080

0,33081

0,33082

0,314

0,316

0,33085

0,318

0,319

0,321

0,33090

0,323

0,33092

0,326

0,328

0,330

0,33100

0,332

0,333

0,33102

0,335

0,336

0,33105

0,33106

0,339

0,33109

0,342

0,33112

0,346

0,33116

0,348

0,349

0,351

0,33120

0,352

0,33121

0,353

0,354

0,33122

0,33124

0,356

0,357

0,358

0,360

0,33128

0,33130

0,362

0,33134

0,371

0,372

0,33140

0,33142

0,33143

0,33145

0,378

0,33147

0,380

0,381

0,382

0,388

0,33157

0,391

0,393

0,33161

0,396

0,33164

0,397

0,33165

0,400

0,402

0,403

0,33172

0,33173

0,407

0,33176

0,33177

0,409

0,412

0,33181

0,413

0,33183

0,33184

0,416

0,418

0,419

0,33188

0,33190

0,425

0,426

0,33198

0,33199

0,33201

0,433

0,33202

0,33205

0,437

0,33206

0,33208

0,440

0,443

0,444

0,33213

0,447

0,33220

0,452

0,453

0,457

0,458

0,459

0,33228

0,460

0,33230

0,463

0,33232

0,33234

0,466

0,33236

0,469

0,33238

0,33239

0,471

0,33240

0,33241

0,473

0,33243

0,33244

0,33245

0,477

0,33248

0,33249

0,33250

0,484

0,33253

0,487

0,489

0,33259

0,491

0,33261

0,493

0,33262

0,495

0,33264

0,33265

0,496

0,497

0,498

0,500

0,33269

0,33270

0,33276

0,508

0,509

0,511

0,33279

0,33280

0,33282

0,515

0,33284

0,33286

0,33287

0,33290

0,523

0,33292

0,525

0,524

0,33296

0,33298

0,531

0,534

0,33303

0,33304

0,33307

0,541
