id_node,Clustering Coefficient

0,0

23977,0.09879032258064516

1,0.17857142857142858

34526,0

2370,0.17692307692307693

14683,0.03539982030548068

29982,0.03533474135908009

21142,0.026643770884666015

20363,0.03204987165383205

23830,0.049910873440285206

34035,0

6067,0

19720,0.044534412955465584

20183,0

3,0

4950,0

18029,0.08374384236453201

3358,0.09473684210526316

34935,0.09852216748768473

5916,0.19883040935672514

4,0

2865,0

9342,0.19047619047619047

5,0

27803,0.0031992738015873237

6,0.3333333333333333

18612,0.11695906432748537

18876,0.03397064971067743

31890,0.001413281690619859

17647,0.06168831168831169

18562,0.0356938190749079

7,0.32142857142857145

37493,0.06794871794871794

33643,0.012845106843462557

30199,0.012246129187658423

35773,0.00412071645929095

11273,0.011858797573083288

12775,0.31620553359683795

21864,0.032928553792283

9051,0.003654321171266637

34957,0.32142857142857145

21395,0.1437908496732026

9891,0.16995073891625614

9340,0.07926829268292683

31260,0.15204678362573099

14820,0.3

26666,0.04180170282889316

22516,0.3484848484848485

8,0.75

19253,0.010838597795119535

11083,0.06891089108910892

23973,0.0909956215495907

36652,0.0033907349070746193

10080,0.0208297137120905

14003,0.06298246879734506

4793,0.03915163783584836

9,0.23809523809523808

15477,0.07692307692307693

23914,0.2857142857142857

33129,1.0

27768,0.3333333333333333

19407,0.3333333333333333

30596,0.05809979494190021

10,0.07272727272727272

35842,0.06060606060606061

23589,0.006907020710356891

37280,0.1794871794871795

2078,0.005441548274490175

23670,0.13333333333333333

32836,0.043434343434343436

34238,0.08857808857808858

19345,0.02849002849002849

19973,0.23809523809523808

29557,0.044201412622465255

33138,0.029314696175499904

35762,0.09343200740055504

4708,0.11764705882352941

15495,0.018687527162103434

10487,0.05593803786574871

12102,0.07644529383659819

27313,0.16017316017316016

27450,0.007164464257283872

19222,0.006373297864386154

7843,0.03636363636363636

19256,0.08262108262108261

14478,0.06432748538011696

26143,0.06666666666666667

12894,0.10437710437710437

11514,0.05040322580645161

16321,0.014992264992264992

35633,0.04288288288288288

22564,0.11842650103519668

22666,0.021724334931319703

22674,0

5567,0.08886067914947636

29876,0.052125100240577385

33500,0.2

14720,0.027777777777777776

32322,0.033866057838660577

37577,0.12903225806451613

36578,0.026879442639928447

3797,0.05170441546556852

4530,0.10476190476190476

27340,0.022167487684729065

26639,0.04824561403508772

915,0.19298245614035087

1407,0.04909456740442656

10456,0.0910349601938387

17332,0.10476190476190476

13638,0.006491522784712828

18850,0.035074368730543065

1923,0.02834927074277987

11271,0.05070320952037505

31938,0.09523809523809523

27314,0.10048309178743961

16641,0.06432748538011696

30002,0.014477009271832873

7027,0.008378483850181964

10535,0.24175824175824176

29465,0

35008,0.0046860492931193164

23972,0.18601398601398603

16995,0.32727272727272727

21934,0.026455026455026454

6229,0.038910505836575876

29964,0.12903225806451613

4469,0.3333333333333333

11,1.0

12,0.13333333333333333

20854,0.015105895108532413

4398,0.13333333333333333

9598,0.08666666666666667

25134,0.23333333333333334

13228,0.14285714285714285

11051,0.006279778176989768

13,0.6666666666666666

5629,0.004432142568215701

14,0.1895424836601307

20880,0.09227614490772386

34989,0.09298245614035087

15143,0.04603836530442035

36404,0.02465986394557823

33988,0.04257104497650481

30809,0.027976190476190477

18638,0.010150375939849625

18910,0.3057471264367816

31126,0.022344027624124175

7825,0.04494262417236167

28922,0.17564102564102563

34629,0.10606060606060606

13396,0.056535504296698326

23838,0.012723429951690821

8635,0.033271043223919404

4174,0.04591194968553459

15,0.37254901960784315

10219,0.17267267267267267

17787,0.06525475751995088

3368,0.05434782608695652

12921,0.044427989633469084

5310,0.09551543389633081

9049,0.045657769949871294

30833,0

23204,0.03944877716362535

1501,0.13909860443834363

33671,0.004225999993381363

18163,0.001463301775314256

29892,0.039748743718592966

17,0

36099,0.05378151260504202

32821,0.05938697318007663

18,0.6666666666666666

27696,0.4

23458,0.07202662086732503

20,0.5

33863,0.07782178217821782

27745,0.12747252747252746

29082,0.03440094899169632

3922,0.016631989930903392

21,0.12121212121212122

