id_node,Betweenness Centrality

0,0.0

23977,0.00014520814312988137

1,1.1497325450492247e-06

34526,3.491289551531286e-07

2370,2.197154516175669e-05

14683,0.0002224051454831301

29982,0.0010859015960066679

21142,0.0022365136687132084

20363,0.0008290258652765691

23830,5.2672834177311184e-05

34035,1.798106320312929e-06

6067,2.2062517868140538e-07

19720,0.00026779669041302313

20183,7.627202900231214e-07

3,5.316291681181313e-05

4950,0.0

18029,0.0002357525848874558

3358,9.141802701606432e-05

34935,0.00016523422721485386

5916,0.0001929121478123594

4,6.134317539356317e-09

2865,9.812953242011247e-06

9342,9.699082384100035e-05

5,0.0

27803,0.24050314282665913

6,2.0985524544210645e-06

18612,9.943256785529617e-06

18876,0.0007485213337296483

31890,0.2695563642276299

17647,0.00013770878651663595

18562,0.0015619457903678585

7,6.164539771769348e-07

37493,0.00043064295699936014

33643,0.00236883513843637

30199,0.002654910077543948

35773,0.043401224657030606

11273,0.000525138212430715

12775,2.6852790449693794e-05

21864,0.0005867872174742666

9051,0.01750690143457082

34957,5.90267959520801e-06

21395,2.5500844919922452e-05

9891,6.229990595532799e-05

9340,0.00014312027706070996

31260,3.8681631466059934e-05

14820,1.8176246800570745e-06

26666,0.0021236584312960163

22516,1.0019579736666408e-05

8,1.7840198119158622e-07

19253,0.020312029504598598

11083,0.00019402866992541064

23973,7.800075969687309e-05

36652,0.03083539862945713

10080,0.0024838489202691446

14003,0.0009336288725974387

4793,0.0012300140476159147

9,2.7118695875394834e-05

15477,0.0001018581030167736

23914,4.116276575550578e-05

33129,0.0

27768,4.8211818876531945e-08

19407,6.305977053243466e-05

30596,0.00024334168110477718

10,0.0001896945158720858

35842,9.851833131738665e-06

23589,0.007241115054457734

37280,1.3175963492535662e-05

2078,0.013248990931039711

23670,2.302972241643336e-05

32836,4.0452285293981295e-05

34238,0.0003390480391348045

19345,8.359952581243253e-05

19973,1.437061376785261e-06

29557,0.00012016371797039091

33138,0.00025987338758421167

35762,5.80770449632818e-05

4708,1.489392352046601e-05

15495,0.0004198830640291135

10487,0.0002961606193317825

12102,0.00030351178638229794

27313,2.8302398228429495e-05

