id_node,Closeness Centrality

0,0.2750047437056928

23977,0.3793270028851446

1,0.2949562623332509

34526,0.28720762086639334

2370,0.3753348026914871

14683,0.36829044530466937

29982,0.4034073909369689

21142,0.40163227291213366

20363,0.38718557338010995

23830,0.35929353907101924

34035,0.34342459106923084

6067,0.2672394864396246

19720,0.3644273459595909

20183,0.2679594552006293

3,0.2787176168129224

4950,0.21796399013977846

18029,0.34612065226989375

3358,0.3483564539530558

34935,0.3540162117064465

5916,0.37836373183223887

4,0.24308394855819884

2865,0.2808879103948058

9342,0.31818220386682305

5,0.3434120766219436

27803,0.5230397835289384

6,0.37224367502457983

18612,0.3525593684936928

18876,0.3812336313950801

31890,0.5177453059926674

17647,0.33130603127715

18562,0.41293036662373483

7,0.3202011470593932

37493,0.3917647939505319

33643,0.3823589101991533

30199,0.3888711249441816

35773,0.4503058132491653

11273,0.3547324660635963

12775,0.3889674268541282

21864,0.3982210227941193

9051,0.41034573106673045

34957,0.34339643484535615

21395,0.31955782947800687

9891,0.3483307019905389

9340,0.35420582047953586

31260,0.29951928996634325

14820,0.3435247394923508

26666,0.4146153703195641

22516,0.34365940595053446

8,0.35153357864383283

19253,0.44729754065516614

11083,0.36103821701670463

23973,0.3686289872747323

36652,0.43956249258044877

10080,0.412126780573476

14003,0.40011888335577345

4793,0.38175484321795883

9,0.34359049364439737

15477,0.31749882284477227

23914,0.3564701009826581

33129,0.27157523315957005

27768,0.2760580313488303

19407,0.37268898660069727

30596,0.39023582515905225

10,0.39074550375978656

35842,0.2887520317332638

23589,0.4017264372431835

37280,0.35296210862193583

2078,0.42045150618713895

23670,0.34485724175240945

32836,0.34875932348975935

34238,0.35799350641716016

19345,0.31768612515560796

19973,0.34535959907204883

29557,0.37078640868257634

33138,0.35981139146969554

35762,0.36135662338919583

4708,0.3492537058982343

15495,0.3599178902822755

10487,0.37110763498345223

12102,0.387464155646724

27313,0.3314604292623047

27450,0.39093596306677864

19222,0.4662865088964304

7843,0.2960705636832426

19256,0.34974624691470785

14478,0.34746380037344

26143,0.3201386019304973

12894,0.3866375400136838

11514,0.34979492825857994

16321,0.376188815315744

35633,0.37939954143859145

22564,0.3886105465734122

22666,0.39313761525487956

22674,0.29155935245851705

5567,0.3786183507634853

29876,0.36712473084773056

33500,0.34373461454520204

14720,0.3136811117198882

32322,0.35975301564866563

37577,0.3442902961823939

36578,0.3805216853621308

3797,0.36847044337185375

4530,0.349655411317368

27340,0.32464647018201187

26639,0.3600485232500848

915,0.3607617976716827

1407,0.3804026463364865

10456,0.3913296262635384

17332,0.3255942530292472

13638,0.4474249592137082

18850,0.3914921925755455

1923,0.39581671047412875

11271,0.4081199614433403

31938,0.3015390541605136

27314,0.37945682831747024

16641,0.30562920275593386

30002,0.4250070493118454

7027,0.423393575850686

10535,0.3739719663757986

29465,0.2869015925010589

35008,0.4249303946378028

23972,0.3820140482454283

16995,0.3547892237923569

21934,0.3454735436214796

6229,0.37852330363113784

