id_node,name,ml_target,clustering_coefficient,Square clustering,triangles,greedy_modularity_communities,Core number,asyn_lpa_communities
0,Eiryyy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,shawflying,0.0,0.1785714285714285,0.0723437636189314,6.227735844356426e-05,0.0022271714922048997,0.15151515151515152,0.0
2,JpMCarrilho,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,SuhwanCha,0.0,0.0,0.0191780821917808,0.0,0.004454342984409799,0.09090909090909091,0.0
4,sunilangadi2,1.0,0.0,0.0,0.0,0.011135857461024499,0.030303030303030304,0.0
5,j6montoya,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,sfate,0.0,0.3333333333333333,0.0388656852950734,6.227735844356426e-05,0.0,0.15151515151515152,0.0
7,amituuush,0.0,0.3214285714285714,0.0542372881355932,0.00011209924519841567,0.0,0.21212121212121213,0.0
8,mauroherlein,0.0,0.75,0.0576920646555537,0.0002615649054629699,0.0022271714922048997,0.21212121212121213,0.0
9,ParadoxZero,0.0,0.238095238095238,0.0019711059063608,6.227735844356426e-05,0.004454342984409799,0.12121212121212122,0.0
10,llazzaro,0.0,0.0727272727272727,0.0172797180582943,0.0019430535834392049,0.0,0.8181818181818182,0.0
11,beeva-manueldepaz,0.0,1.0,0.1705711656875929,1.2455471688712852e-05,0.0022271714922048997,0.030303030303030304,0.0
12,damianmuti,0.0,0.1333333333333333,0.0180695847362514,2.4910943377425704e-05,0.0,0.15151515151515152,0.0
13,apobbati,0.0,0.6666666666666666,0.0581884246042045,2.4910943377425704e-05,0.006681514476614699,0.06060606060606061,0.0
14,hwlv,0.0,0.1895424836601307,0.0348597776144833,0.0003612086789726727,0.0022271714922048997,0.48484848484848486,0.0
15,haroldoramirez,0.0,0.3725490196078431,0.0379448771858866,0.0007099618862566326,0.0022271714922048997,0.48484848484848486,0.0
16,jasonblanchard,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,BahiHussein,0.0,0.0,0.0488372093023255,0.0,0.0,0.06060606060606061,0.0
18,itsmevanessi,0.0,0.6666666666666666,0.0075334821428571,2.4910943377425704e-05,0.0,0.06060606060606061,0.0
19,nwjsmith,0.0,0.1125541125541125,0.0215482171765041,0.0003238422639065342,0.0,0.36363636363636365,0.0
20,chengzhipeng,0.0,0.5,0.1144792002579812,3.736641506613856e-05,0.0022271714922048997,0.09090909090909091,0.0
21,tiensonqin,0.0,0.1212121212121212,0.0145695665525516,0.0007971501880776225,0.0,0.6060606060606061,0.0
22,pdokas,0.0,0.238095238095238,0.0216567011812746,6.227735844356426e-05,0.0,0.15151515151515152,0.0
23,maxfierke,0.0,0.0303030303030303,0.0049358848236511,2.4910943377425704e-05,0.0,0.2424242424242424,0.0
24,davidthewatson,0.0,0.1503267973856209,0.0248316438647479,0.0002864758488403956,0.0,0.4242424242424243,0.0
